code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
0560,5,6,0,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Non-payment/Zero Claim
0660,6,6,0,Intermediate Care,Intermediate Care - Level II,66,Non-payment/Zero Claim
0760,7,6,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Non-payment/Zero Claim
0860,8,6,0,Special facility or hospital,Residential Facility,86,Non-payment/Zero Claim
0960,9,6,0,Reserved for National Assignment,Intermediate Care - Level II,96,Non-payment/Zero Claim
0170,1,7,0,Hospital,Subacute Inpatient,17,Non-payment/Zero Claim
0270,2,7,0,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Non-payment/Zero Claim
0370,3,7,0,Home Health,Subacute Inpatient,37,Non-payment/Zero Claim
0470,4,7,0,Religious Nonmedical (Hospital),Subacute Inpatient,47,Non-payment/Zero Claim
0570,5,7,0,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Non-payment/Zero Claim
0670,6,7,0,Intermediate Care,Subacute Inpatient,67,Non-payment/Zero Claim
0770,7,7,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Non-payment/Zero Claim
0870,8,7,0,Special facility or hospital,Reserved for National Assignment,87,Non-payment/Zero Claim
0970,9,7,0,Reserved for National Assignment,Subacute Inpatient,97,Non-payment/Zero Claim
0180,1,8,0,Hospital,Reserved for National Assignment,18,Non-payment/Zero Claim
0280,2,8,0,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Non-payment/Zero Claim
0380,3,8,0,Home Health,Reserved for National Assignment,38,Non-payment/Zero Claim
0480,4,8,0,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Non-payment/Zero Claim
0580,5,8,0,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Non-payment/Zero Claim
0680,6,8,0,Intermediate Care,Reserved for National Assignment,68,Non-payment/Zero Claim
0780,7,8,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Non-payment/Zero Claim
0880,8,8,0,Special facility or hospital,Reserved for National Assignment,88,Non-payment/Zero Claim
0980,9,8,0,Reserved for National Assignment,Reserved for National Assignment,98,Non-payment/Zero Claim
0190,1,9,0,Hospital,Reserved for National Assignment,19,Non-payment/Zero Claim
0290,2,9,0,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Non-payment/Zero Claim
0390,3,9,0,Home Health,Reserved for National Assignment,39,Non-payment/Zero Claim
0490,4,9,0,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Non-payment/Zero Claim
0590,5,9,0,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Non-payment/Zero Claim
0690,6,9,0,Intermediate Care,Reserved for National Assignment,69,Non-payment/Zero Claim
0790,7,9,0,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Non-payment/Zero Claim
0890,8,9,0,Special facility or hospital,Other,89,Non-payment/Zero Claim
0990,9,9,0,Reserved for National Assignment,Reserved for National Assignment,99,Non-payment/Zero Claim
0111,1,1,1,Hospital,Inpatient (Part A),11,Admit Through Discharge
0211,2,1,1,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Admit Through Discharge
0311,3,1,1,Home Health,Inpatient (Part A),31,Admit Through Discharge
0411,4,1,1,Religious Nonmedical (Hospital),Inpatient (Part A),41,Admit Through Discharge
0511,5,1,1,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Admit Through Discharge
0611,6,1,1,Intermediate Care,Inpatient (Part A),61,Admit Through Discharge
0711,7,1,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Admit Through Discharge
0811,8,1,1,Special facility or hospital,Hospice (non-hospital based),81,Admit Through Discharge
0911,9,1,1,Reserved for National Assignment,Inpatient (Part A),91,Admit Through Discharge
0121,1,2,1,Hospital,Inpatient (Part B),12,Admit Through Discharge
0221,2,2,1,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Admit Through Discharge
0321,3,2,1,Home Health,Inpatient (Part B),32,Admit Through Discharge
0421,4,2,1,Religious Nonmedical (Hospital),Inpatient (Part B),42,Admit Through Discharge
0521,5,2,1,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Admit Through Discharge
0621,6,2,1,Intermediate Care,Inpatient (Part B),62,Admit Through Discharge
0721,7,2,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Admit Through Discharge
0821,8,2,1,Special facility or hospital,Hospice (hospital based),82,Admit Through Discharge
0921,9,2,1,Reserved for National Assignment,Inpatient (Part B),92,Admit Through Discharge
0131,1,3,1,Hospital,Outpatient,13,Admit Through Discharge
0231,2,3,1,Skilled Nursing Facility (SNF),Outpatient,23,Admit Through Discharge
0331,3,3,1,Home Health,Outpatient,33,Admit Through Discharge
0431,4,3,1,Religious Nonmedical (Hospital),Outpatient,43,Admit Through Discharge
0531,5,3,1,Religious Nonmedical (Extended Care),Outpatient,53,Admit Through Discharge
0631,6,3,1,Intermediate Care,Outpatient,63,Admit Through Discharge
0731,7,3,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Admit Through Discharge
0831,8,3,1,Special facility or hospital,ASC Services to Hospital Outpatients,83,Admit Through Discharge
0931,9,3,1,Reserved for National Assignment,Outpatient,93,Admit Through Discharge
0141,1,4,1,Hospital,Other (Part B),14,Admit Through Discharge
0241,2,4,1,Skilled Nursing Facility (SNF),Other (Part B),24,Admit Through Discharge
0341,3,4,1,Home Health,Other (Part B),34,Admit Through Discharge
0441,4,4,1,Religious Nonmedical (Hospital),Other (Part B),44,Admit Through Discharge
0541,5,4,1,Religious Nonmedical (Extended Care),Other (Part B),54,Admit Through Discharge
0641,6,4,1,Intermediate Care,Other (Part B),64,Admit Through Discharge
0741,7,4,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Admit Through Discharge
0841,8,4,1,Special facility or hospital,Free Standing Birthing Center,84,Admit Through Discharge
0941,9,4,1,Reserved for National Assignment,Other (Part B),94,Admit Through Discharge
0151,1,5,1,Hospital,Intermediate Care - Level I,15,Admit Through Discharge
0251,2,5,1,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Admit Through Discharge
0351,3,5,1,Home Health,Intermediate Care - Level I,35,Admit Through Discharge
0451,4,5,1,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Admit Through Discharge
0551,5,5,1,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Admit Through Discharge
0651,6,5,1,Intermediate Care,Intermediate Care - Level I,65,Admit Through Discharge
0751,7,5,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Admit Through Discharge
0851,8,5,1,Special facility or hospital,Critical Access Hospital (CAH),85,Admit Through Discharge
0951,9,5,1,Reserved for National Assignment,Intermediate Care - Level I,95,Admit Through Discharge
0161,1,6,1,Hospital,Intermediate Care - Level II,16,Admit Through Discharge
0261,2,6,1,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Admit Through Discharge
0361,3,6,1,Home Health,Intermediate Care - Level II,36,Admit Through Discharge
0461,4,6,1,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Admit Through Discharge
0561,5,6,1,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Admit Through Discharge
0661,6,6,1,Intermediate Care,Intermediate Care - Level II,66,Admit Through Discharge
0761,7,6,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Admit Through Discharge
0861,8,6,1,Special facility or hospital,Residential Facility,86,Admit Through Discharge
0961,9,6,1,Reserved for National Assignment,Intermediate Care - Level II,96,Admit Through Discharge
0171,1,7,1,Hospital,Subacute Inpatient,17,Admit Through Discharge
0271,2,7,1,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Admit Through Discharge
0371,3,7,1,Home Health,Subacute Inpatient,37,Admit Through Discharge
0471,4,7,1,Religious Nonmedical (Hospital),Subacute Inpatient,47,Admit Through Discharge
0571,5,7,1,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Admit Through Discharge
0671,6,7,1,Intermediate Care,Subacute Inpatient,67,Admit Through Discharge
0771,7,7,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Admit Through Discharge
0871,8,7,1,Special facility or hospital,Reserved for National Assignment,87,Admit Through Discharge
0971,9,7,1,Reserved for National Assignment,Subacute Inpatient,97,Admit Through Discharge
0181,1,8,1,Hospital,Reserved for National Assignment,18,Admit Through Discharge
0281,2,8,1,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Admit Through Discharge
0381,3,8,1,Home Health,Reserved for National Assignment,38,Admit Through Discharge
0481,4,8,1,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Admit Through Discharge
0581,5,8,1,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Admit Through Discharge
0681,6,8,1,Intermediate Care,Reserved for National Assignment,68,Admit Through Discharge
0781,7,8,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Admit Through Discharge
0881,8,8,1,Special facility or hospital,Reserved for National Assignment,88,Admit Through Discharge
0981,9,8,1,Reserved for National Assignment,Reserved for National Assignment,98,Admit Through Discharge
0191,1,9,1,Hospital,Reserved for National Assignment,19,Admit Through Discharge
0291,2,9,1,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Admit Through Discharge
0391,3,9,1,Home Health,Reserved for National Assignment,39,Admit Through Discharge
0491,4,9,1,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Admit Through Discharge
0591,5,9,1,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Admit Through Discharge
0691,6,9,1,Intermediate Care,Reserved for National Assignment,69,Admit Through Discharge
0791,7,9,1,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Admit Through Discharge
0891,8,9,1,Special facility or hospital,Other,89,Admit Through Discharge
0991,9,9,1,Reserved for National Assignment,Reserved for National Assignment,99,Admit Through Discharge
0112,1,1,2,Hospital,Inpatient (Part A),11,Interim - First claim
0212,2,1,2,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Interim - First claim
0312,3,1,2,Home Health,Inpatient (Part A),31,Interim - First claim
0412,4,1,2,Religious Nonmedical (Hospital),Inpatient (Part A),41,Interim - First claim
0512,5,1,2,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Interim - First claim
0612,6,1,2,Intermediate Care,Inpatient (Part A),61,Interim - First claim
0712,7,1,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Interim - First claim
0812,8,1,2,Special facility or hospital,Hospice (non-hospital based),81,Interim - First claim
0912,9,1,2,Reserved for National Assignment,Inpatient (Part A),91,Interim - First claim
0122,1,2,2,Hospital,Inpatient (Part B),12,Interim - First claim
0222,2,2,2,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Interim - First claim
0322,3,2,2,Home Health,Inpatient (Part B),32,Interim - First claim
0422,4,2,2,Religious Nonmedical (Hospital),Inpatient (Part B),42,Interim - First claim
0522,5,2,2,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Interim - First claim
0622,6,2,2,Intermediate Care,Inpatient (Part B),62,Interim - First claim
0722,7,2,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Interim - First claim
0822,8,2,2,Special facility or hospital,Hospice (hospital based),82,Interim - First claim
0922,9,2,2,Reserved for National Assignment,Inpatient (Part B),92,Interim - First claim
0132,1,3,2,Hospital,Outpatient,13,Interim - First claim
0232,2,3,2,Skilled Nursing Facility (SNF),Outpatient,23,Interim - First claim
0332,3,3,2,Home Health,Outpatient,33,Interim - First claim
0432,4,3,2,Religious Nonmedical (Hospital),Outpatient,43,Interim - First claim
0532,5,3,2,Religious Nonmedical (Extended Care),Outpatient,53,Interim - First claim
0632,6,3,2,Intermediate Care,Outpatient,63,Interim - First claim
0732,7,3,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Interim - First claim
0832,8,3,2,Special facility or hospital,ASC Services to Hospital Outpatients,83,Interim - First claim
0932,9,3,2,Reserved for National Assignment,Outpatient,93,Interim - First claim
0142,1,4,2,Hospital,Other (Part B),14,Interim - First claim
0242,2,4,2,Skilled Nursing Facility (SNF),Other (Part B),24,Interim - First claim
0342,3,4,2,Home Health,Other (Part B),34,Interim - First claim
0442,4,4,2,Religious Nonmedical (Hospital),Other (Part B),44,Interim - First claim
0542,5,4,2,Religious Nonmedical (Extended Care),Other (Part B),54,Interim - First claim
0642,6,4,2,Intermediate Care,Other (Part B),64,Interim - First claim
0742,7,4,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Interim - First claim
0842,8,4,2,Special facility or hospital,Free Standing Birthing Center,84,Interim - First claim
0942,9,4,2,Reserved for National Assignment,Other (Part B),94,Interim - First claim
0152,1,5,2,Hospital,Intermediate Care - Level I,15,Interim - First claim
0252,2,5,2,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Interim - First claim
0352,3,5,2,Home Health,Intermediate Care - Level I,35,Interim - First claim
0452,4,5,2,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Interim - First claim
0552,5,5,2,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Interim - First claim
0652,6,5,2,Intermediate Care,Intermediate Care - Level I,65,Interim - First claim
0752,7,5,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Interim - First claim
0852,8,5,2,Special facility or hospital,Critical Access Hospital (CAH),85,Interim - First claim
0952,9,5,2,Reserved for National Assignment,Intermediate Care - Level I,95,Interim - First claim
0162,1,6,2,Hospital,Intermediate Care - Level II,16,Interim - First claim
0262,2,6,2,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Interim - First claim
0362,3,6,2,Home Health,Intermediate Care - Level II,36,Interim - First claim
0462,4,6,2,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Interim - First claim
0562,5,6,2,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Interim - First claim
0662,6,6,2,Intermediate Care,Intermediate Care - Level II,66,Interim - First claim
0762,7,6,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Interim - First claim
0862,8,6,2,Special facility or hospital,Residential Facility,86,Interim - First claim
0962,9,6,2,Reserved for National Assignment,Intermediate Care - Level II,96,Interim - First claim
0172,1,7,2,Hospital,Subacute Inpatient,17,Interim - First claim
0272,2,7,2,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Interim - First claim
0372,3,7,2,Home Health,Subacute Inpatient,37,Interim - First claim
0472,4,7,2,Religious Nonmedical (Hospital),Subacute Inpatient,47,Interim - First claim
0572,5,7,2,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Interim - First claim
0672,6,7,2,Intermediate Care,Subacute Inpatient,67,Interim - First claim
0772,7,7,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Interim - First claim
0872,8,7,2,Special facility or hospital,Reserved for National Assignment,87,Interim - First claim
0972,9,7,2,Reserved for National Assignment,Subacute Inpatient,97,Interim - First claim
0182,1,8,2,Hospital,Reserved for National Assignment,18,Interim - First claim
0282,2,8,2,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Interim - First claim
0382,3,8,2,Home Health,Reserved for National Assignment,38,Interim - First claim
0482,4,8,2,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Interim - First claim
0582,5,8,2,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Interim - First claim
0682,6,8,2,Intermediate Care,Reserved for National Assignment,68,Interim - First claim
0782,7,8,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Interim - First claim
0882,8,8,2,Special facility or hospital,Reserved for National Assignment,88,Interim - First claim
0982,9,8,2,Reserved for National Assignment,Reserved for National Assignment,98,Interim - First claim
0192,1,9,2,Hospital,Reserved for National Assignment,19,Interim - First claim
0292,2,9,2,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Interim - First claim
0392,3,9,2,Home Health,Reserved for National Assignment,39,Interim - First claim
0492,4,9,2,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Interim - First claim
0592,5,9,2,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Interim - First claim
0692,6,9,2,Intermediate Care,Reserved for National Assignment,69,Interim - First claim
0792,7,9,2,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Interim - First claim
0892,8,9,2,Special facility or hospital,Other,89,Interim - First claim
0992,9,9,2,Reserved for National Assignment,Reserved for National Assignment,99,Interim - First claim
0113,1,1,3,Hospital,Inpatient (Part A),11,Interim - Continuing Claims
0213,2,1,3,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Interim - Continuing Claims
0313,3,1,3,Home Health,Inpatient (Part A),31,Interim - Continuing Claims
0413,4,1,3,Religious Nonmedical (Hospital),Inpatient (Part A),41,Interim - Continuing Claims
0513,5,1,3,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Interim - Continuing Claims
0613,6,1,3,Intermediate Care,Inpatient (Part A),61,Interim - Continuing Claims
0713,7,1,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Interim - Continuing Claims
0813,8,1,3,Special facility or hospital,Hospice (non-hospital based),81,Interim - Continuing Claims
0913,9,1,3,Reserved for National Assignment,Inpatient (Part A),91,Interim - Continuing Claims
0123,1,2,3,Hospital,Inpatient (Part B),12,Interim - Continuing Claims
0223,2,2,3,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Interim - Continuing Claims
0323,3,2,3,Home Health,Inpatient (Part B),32,Interim - Continuing Claims
0423,4,2,3,Religious Nonmedical (Hospital),Inpatient (Part B),42,Interim - Continuing Claims
0523,5,2,3,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Interim - Continuing Claims
0623,6,2,3,Intermediate Care,Inpatient (Part B),62,Interim - Continuing Claims
0723,7,2,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Interim - Continuing Claims
0823,8,2,3,Special facility or hospital,Hospice (hospital based),82,Interim - Continuing Claims
0923,9,2,3,Reserved for National Assignment,Inpatient (Part B),92,Interim - Continuing Claims
0133,1,3,3,Hospital,Outpatient,13,Interim - Continuing Claims
0233,2,3,3,Skilled Nursing Facility (SNF),Outpatient,23,Interim - Continuing Claims
0333,3,3,3,Home Health,Outpatient,33,Interim - Continuing Claims
0433,4,3,3,Religious Nonmedical (Hospital),Outpatient,43,Interim - Continuing Claims
0533,5,3,3,Religious Nonmedical (Extended Care),Outpatient,53,Interim - Continuing Claims
0633,6,3,3,Intermediate Care,Outpatient,63,Interim - Continuing Claims
0733,7,3,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Interim - Continuing Claims
0833,8,3,3,Special facility or hospital,ASC Services to Hospital Outpatients,83,Interim - Continuing Claims
0933,9,3,3,Reserved for National Assignment,Outpatient,93,Interim - Continuing Claims
0143,1,4,3,Hospital,Other (Part B),14,Interim - Continuing Claims
0243,2,4,3,Skilled Nursing Facility (SNF),Other (Part B),24,Interim - Continuing Claims
0343,3,4,3,Home Health,Other (Part B),34,Interim - Continuing Claims
0443,4,4,3,Religious Nonmedical (Hospital),Other (Part B),44,Interim - Continuing Claims
0543,5,4,3,Religious Nonmedical (Extended Care),Other (Part B),54,Interim - Continuing Claims
0643,6,4,3,Intermediate Care,Other (Part B),64,Interim - Continuing Claims
0743,7,4,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Interim - Continuing Claims
0843,8,4,3,Special facility or hospital,Free Standing Birthing Center,84,Interim - Continuing Claims
0943,9,4,3,Reserved for National Assignment,Other (Part B),94,Interim - Continuing Claims
0153,1,5,3,Hospital,Intermediate Care - Level I,15,Interim - Continuing Claims
0253,2,5,3,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Interim - Continuing Claims
0353,3,5,3,Home Health,Intermediate Care - Level I,35,Interim - Continuing Claims
0453,4,5,3,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Interim - Continuing Claims
0553,5,5,3,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Interim - Continuing Claims
0653,6,5,3,Intermediate Care,Intermediate Care - Level I,65,Interim - Continuing Claims
0753,7,5,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Interim - Continuing Claims
0853,8,5,3,Special facility or hospital,Critical Access Hospital (CAH),85,Interim - Continuing Claims
0953,9,5,3,Reserved for National Assignment,Intermediate Care - Level I,95,Interim - Continuing Claims
0163,1,6,3,Hospital,Intermediate Care - Level II,16,Interim - Continuing Claims
0263,2,6,3,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Interim - Continuing Claims
0363,3,6,3,Home Health,Intermediate Care - Level II,36,Interim - Continuing Claims
0463,4,6,3,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Interim - Continuing Claims
0563,5,6,3,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Interim - Continuing Claims
0663,6,6,3,Intermediate Care,Intermediate Care - Level II,66,Interim - Continuing Claims
0763,7,6,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Interim - Continuing Claims
0863,8,6,3,Special facility or hospital,Residential Facility,86,Interim - Continuing Claims
0963,9,6,3,Reserved for National Assignment,Intermediate Care - Level II,96,Interim - Continuing Claims
0173,1,7,3,Hospital,Subacute Inpatient,17,Interim - Continuing Claims
0273,2,7,3,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Interim - Continuing Claims
0373,3,7,3,Home Health,Subacute Inpatient,37,Interim - Continuing Claims
0473,4,7,3,Religious Nonmedical (Hospital),Subacute Inpatient,47,Interim - Continuing Claims
0573,5,7,3,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Interim - Continuing Claims
0673,6,7,3,Intermediate Care,Subacute Inpatient,67,Interim - Continuing Claims
0773,7,7,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Interim - Continuing Claims
0873,8,7,3,Special facility or hospital,Reserved for National Assignment,87,Interim - Continuing Claims
0973,9,7,3,Reserved for National Assignment,Subacute Inpatient,97,Interim - Continuing Claims
0183,1,8,3,Hospital,Reserved for National Assignment,18,Interim - Continuing Claims
0283,2,8,3,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Interim - Continuing Claims
0383,3,8,3,Home Health,Reserved for National Assignment,38,Interim - Continuing Claims
