npi,combined_hs_and_corp,combined_hs_and_corp_name
1265578777,HSI00001185,University of Vermont Health Network
1437435245,HSI00001185,University of Vermont Health Network
1538189865,HSI00001185,University of Vermont Health Network
1740291400,HSI00001185,University of Vermont Health Network
1841210176,HSI00001185,University of Vermont Health Network
1871689604,HSI00001185,University of Vermont Health Network
1083678833,HSI00000900,Rutland Regional Health Services
1194789941,HSI00000900,Rutland Regional Health Services
1295287936,HSI00000900,Rutland Regional Health Services
1295799047,HSI00000900,Rutland Regional Health Services
1467416206,HSI00000900,Rutland Regional Health Services
1578527578,HSI00000900,Rutland Regional Health Services
1720042203,HSI00000900,Rutland Regional Health Services
1285621326,HSI00000299,Dartmouth-Hitchcock
1306833397,HSI00000299,Dartmouth-Hitchcock
1558358747,HSI00000299,Dartmouth-Hitchcock
1679560668,HSI00000299,Dartmouth-Hitchcock
1841287984,HSI00000299,Dartmouth-Hitchcock
1922095918,HSI00000299,Dartmouth-Hitchcock
1932196078,HSI00000299,Dartmouth-Hitchcock
1013953280,HSI00001185,University of Vermont Health Network
1205873486,HSI00001185,University of Vermont Health Network
1407867054,HSI00001185,University of Vermont Health Network
1427112861,HSI00001185,University of Vermont Health Network
1508808353,HSI00001185,University of Vermont Health Network
1538186168,HSI00001185,University of Vermont Health Network
1568419976,HSI00001185,University of Vermont Health Network
1568501591,HSI00001185,University of Vermont Health Network
1619031044,HSI00001185,University of Vermont Health Network
1659309615,HSI00001185,University of Vermont Health Network
1730123241,HSI00001185,University of Vermont Health Network
1841234283,HSI00001185,University of Vermont Health Network
1932143377,HSI00001185,University of Vermont Health Network
1942244462,HSI00001185,University of Vermont Health Network
1225060270,HSI00001016,Southwestern Vermont Health Care
1700935780,HSI00000900,Rutland Regional Health Services
1699755348,HSI00001185,University of Vermont Health Network
1902008485,HSI00001185,University of Vermont Health Network
1063546984,HSI00000860,Quorum Health Corporation
1386689875,HSI00000860,Quorum Health Corporation
1538293469,HSI00000860,Quorum Health Corporation
1720112659,HSI00000860,Quorum Health Corporation
1801995204,HSI00000299,Dartmouth-Hitchcock
1457356818,HSI00001185,University of Vermont Health Network
1578613840,HSI00000060,Atlantic Health System
1215985908,HSI00000060,Atlantic Health System
1699725358,HSI00000143,Bryan Health
1366656431,HSI00000863,RWJBarnabas Health
1467407007,HSI00000077,Baptist Health South Florida
1144633397,HSI00001427,CommonSpirit Health
1467602482,HSI00001427,CommonSpirit Health
1477846954,HSI00001427,CommonSpirit Health
1760632780,HSI00001427,CommonSpirit Health
1922053545,HSI00001427,CommonSpirit Health
1720233596,HSI00001186,University of Virginia Health System
1295803013,HSI00001106,Trinity Health
1861401614,HSI00001038,Stony Brook Medicine
1982647004,HSI00000055,Ascension Health
1851347801,HSI00000075,Baptist Health
1780639138,HSI00000492,HCA Healthcare
1538199864,HSI00000737,Niagara Falls Memorial Medical Center
1134208150,HSI00000492,HCA Healthcare
1013430511,HSI00000299,Dartmouth-Hitchcock
1053436956,HSI00000299,Dartmouth-Hitchcock
1174566541,HSI00000299,Dartmouth-Hitchcock
1275126260,HSI00000299,Dartmouth-Hitchcock
1275576704,HSI00000299,Dartmouth-Hitchcock
1326081811,HSI00000299,Dartmouth-Hitchcock
1487732301,HSI00000299,Dartmouth-Hitchcock
1548202690,HSI00000299,Dartmouth-Hitchcock
1578997896,HSI00000299,Dartmouth-Hitchcock
1659459428,HSI00000299,Dartmouth-Hitchcock
1760773774,HSI00000299,Dartmouth-Hitchcock
1831132299,HSI00000299,Dartmouth-Hitchcock
1861439275,HSI00000299,Dartmouth-Hitchcock
1871870899,HSI00000299,Dartmouth-Hitchcock
1992747737,HSI00000299,Dartmouth-Hitchcock
1508867391,HSI00000097,Baystate Health
1790780047,HSI00001122,UMass Memorial Health Care
1205823879,HSI00000478,Heywood Healthcare
1457685299,HSI00000478,Heywood Healthcare
1467725416,HSI00001458,Lawrence General Hospital
1750381281,HSI00001458,Lawrence General Hospital
1881272102,HSI00001458,Lawrence General Hospital
1649254491,HSI00001416,Beth Israel Lahey Health
1689670259,HSI00001416,Beth Israel Lahey Health
1205993110,HSI00000813,Mass General Brigham
1447214622,HSI00000813,Mass General Brigham
1477021608,HSI00000813,Mass General Brigham
1750448767,HSI00000813,Mass General Brigham
1518600501,HSI00001416,Beth Israel Lahey Health
1548202641,HSI00001416,Beth Israel Lahey Health
1134206386,HSI00000813,Mass General Brigham
1194866210,HSI00000813,Mass General Brigham
1497832646,HSI00000813,Mass General Brigham
1508413725,HSI00000813,Mass General Brigham
1811075211,HSI00000813,Mass General Brigham
1073049441,HSI00000478,Heywood Healthcare
1336120047,HSI00000478,Heywood Healthcare
1952966491,HSI00000478,Heywood Healthcare
1124686530,HSI00000109,Berkshire Health Systems
1174689467,HSI00000109,Berkshire Health Systems
1639737042,HSI00000109,Berkshire Health Systems
1730112251,HSI00000109,Berkshire Health Systems
1881252286,HSI00000109,Berkshire Health Systems
1942474176,HSI00000109,Berkshire Health Systems
1104437896,HSI00000813,Mass General Brigham
1225079940,HSI00000813,Mass General Brigham
1346433257,HSI00000813,Mass General Brigham
1356973887,HSI00000813,Mass General Brigham
1851333686,HSI00000813,Mass General Brigham
1669411856,HSI00001002,South Shore Health System
1790717650,HSI00000813,Mass General Brigham
1245286152,HSI00000161,Cape Cod Healthcare
1093768830,HSI00000097,Baystate Health
1972626117,HSI00001416,Beth Israel Lahey Health
1437295714,HSI00000813,Mass General Brigham
1932164522,HSI00001416,Beth Israel Lahey Health
1619969920,HSI00000131,Boston Medical Center
1518984319,HSI00001002,South Shore Health System
1366482093,HSI00001066,Tenet Healthcare
1568439818,HSI00001219,Valley Health Systems
1245384114,HSI00001416,Beth Israel Lahey Health
1699721985,HSI00001458,Lawrence General Hospital
1003804725,HSI00001416,Beth Israel Lahey Health
1982995197,HSI00001416,Beth Israel Lahey Health
1528090131,HSI00000478,Heywood Healthcare
1760416630,HSI00000097,Baystate Health
1013997691,HSI00000813,Mass General Brigham
1477213031,HSI00000813,Mass General Brigham
1740392265,HSI00000161,Cape Cod Healthcare
1003507013,HSI00001416,Beth Israel Lahey Health
1063103083,HSI00001416,Beth Israel Lahey Health
1548350945,HSI00001416,Beth Israel Lahey Health
1427041268,HSI00001416,Beth Israel Lahey Health
1639240393,HSI00000131,Boston Medical Center
1942869342,HSI00000131,Boston Medical Center
1578528949,HSI00001416,Beth Israel Lahey Health
1558352013,HSI00001004,Southcoast Health System
1538110846,HSI00001416,Beth Israel Lahey Health
1902954449,HSI00001037,Steward Health Care System
1649293028,HSI00001122,UMass Memorial Health Care
1962422741,HSI00000813,Mass General Brigham
1821280959,HSI00001112,Wellforce
1982607537,HSI00001004,Southcoast Health System
1114979580,HSI00000813,Mass General Brigham
1538185475,HSI00000813,Mass General Brigham
1023049236,HSI00000813,Mass General Brigham
1831268754,HSI00000130,Boston Childrens Hospital
1124079561,HSI00000813,Mass General Brigham
1396942926,HSI00000813,Mass General Brigham
1467648444,HSI00000813,Mass General Brigham
1689909723,HSI00000813,Mass General Brigham
1063447316,HSI00001416,Beth Israel Lahey Health
1538194980,HSI00001416,Beth Israel Lahey Health
1669491601,HSI00001416,Beth Israel Lahey Health
1659308021,HSI00000161,Cape Cod Healthcare
1619940780,HSI00000813,Mass General Brigham
1326014259,HSI00001416,Beth Israel Lahey Health
1053605634,HSI00001041,Sturdy Memorial Hospital
1063866176,HSI00001041,Sturdy Memorial Hospital
1104347319,HSI00001041,Sturdy Memorial Hospital
1114349834,HSI00001041,Sturdy Memorial Hospital
1144740994,HSI00001041,Sturdy Memorial Hospital
1194078311,HSI00001041,Sturdy Memorial Hospital
1295751485,HSI00001041,Sturdy Memorial Hospital
1306875166,HSI00001041,Sturdy Memorial Hospital
1356725394,HSI00001041,Sturdy Memorial Hospital
1497771703,HSI00001041,Sturdy Memorial Hospital
1538194527,HSI00001041,Sturdy Memorial Hospital
1538194824,HSI00001041,Sturdy Memorial Hospital
1639528987,HSI00001041,Sturdy Memorial Hospital
1649596354,HSI00001041,Sturdy Memorial Hospital
1679598460,HSI00001041,Sturdy Memorial Hospital
1780600924,HSI00001041,Sturdy Memorial Hospital
1871515874,HSI00001041,Sturdy Memorial Hospital
1942359856,HSI00001041,Sturdy Memorial Hospital
1083743835,HSI00001416,Beth Israel Lahey Health
1275570319,HSI00001112,Wellforce
1508187642,HSI00001112,Wellforce
1366542342,HSI00000097,Baystate Health
1659349462,HSI00001416,Beth Israel Lahey Health
1124118229,HSI00000130,Boston Childrens Hospital
1952361503,HSI00001002,South Shore Health System
1841290467,HSI00001112,Wellforce
1891835351,HSI00001112,Wellforce
1730106162,HSI00001041,Sturdy Memorial Hospital
1710087127,HSI00000130,Boston Childrens Hospital
1598807414,HSI00001004,Southcoast Health System
1982680922,HSI00000130,Boston Childrens Hospital
1124184494,HSI00000109,Berkshire Health Systems
1205948973,HSI00000109,Berkshire Health Systems
1235670316,HSI00000109,Berkshire Health Systems
1295121861,HSI00000109,Berkshire Health Systems
1295765261,HSI00000109,Berkshire Health Systems
1518173871,HSI00000109,Berkshire Health Systems
1528328861,HSI00000109,Berkshire Health Systems
1659436996,HSI00000109,Berkshire Health Systems
1932649753,HSI00000109,Berkshire Health Systems
1457308637,HSI00000131,Boston Medical Center
1306186523,HSI00000813,Mass General Brigham
1326766205,HSI00000813,Mass General Brigham
1801874573,HSI00000813,Mass General Brigham
1942691803,HSI00000813,Mass General Brigham
1437196359,HSI00001416,Beth Israel Lahey Health
1598870800,HSI00001002,South Shore Health System
1770679045,HSI00000130,Boston Childrens Hospital
1548205909,HSI00000097,Baystate Health
1790731008,HSI00000097,Baystate Health
1144234055,HSI00000130,Boston Childrens Hospital
1760445373,HSI00001122,UMass Memorial Health Care
1548344393,HSI00000130,Boston Childrens Hospital
1740216811,HSI00000130,Boston Childrens Hospital
1871523753,HSI00000130,Boston Childrens Hospital
1548212939,HSI00000109,Berkshire Health Systems
1689984247,HSI00000109,Berkshire Health Systems
1720117047,HSI00000109,Berkshire Health Systems
1770893331,HSI00000109,Berkshire Health Systems
1992750996,HSI00001416,Beth Israel Lahey Health
1407845282,HSI00001106,Trinity Health
1073590840,HSI00001416,Beth Israel Lahey Health
1376515809,HSI00001416,Beth Israel Lahey Health
1740337286,HSI00001112,Wellforce
1558481879,HSI00000131,Boston Medical Center
1942251335,HSI00001416,Beth Israel Lahey Health
1063459568,HSI00000131,Boston Medical Center
1588606123,HSI00000813,Mass General Brigham
1184645194,HSI00000813,Mass General Brigham
1508020199,HSI00000340,Emerson Hospital Health System
1194949206,HSI00000813,Mass General Brigham
1154317865,HSI00000131,Boston Medical Center
1285691337,HSI00000131,Boston Medical Center
1679531610,HSI00000131,Boston Medical Center
1770563900,HSI00001112,Wellforce
1912944182,HSI00001112,Wellforce
1316981012,HSI00001112,Wellforce
1497795025,HSI00001112,Wellforce
1669411229,HSI00001112,Wellforce
1841237617,HSI00001112,Wellforce
1336186501,HSI00001112,Wellforce
1245270875,HSI00001112,Wellforce
1154361780,HSI00001112,Wellforce
1215971361,HSI00001112,Wellforce
1083660534,HSI00001112,Wellforce
1659312189,HSI00001112,Wellforce
1326085390,HSI00001112,Wellforce
1942257159,HSI00000131,Boston Medical Center
1275062283,HSI00000813,Mass General Brigham
1326626409,HSI00000813,Mass General Brigham
1356871172,HSI00000813,Mass General Brigham
1386173300,HSI00000813,Mass General Brigham
1790244408,HSI00000813,Mass General Brigham
1902856024,HSI00000813,Mass General Brigham
1699762286,HSI00000478,Heywood Healthcare
1326166596,HSI00000813,Mass General Brigham
1932175684,HSI00001002,South Shore Health System
1962437962,HSI00001037,Steward Health Care System
1306391206,HSI00000161,Cape Cod Healthcare
1770534927,HSI00000161,Cape Cod Healthcare
1295787919,HSI00000813,Mass General Brigham
1942605373,HSI00000813,Mass General Brigham
1497817621,HSI00000813,Mass General Brigham
1235147760,HSI00001416,Beth Israel Lahey Health
1922009547,HSI00001219,Valley Health Systems
1255493474,HSI00001004,Southcoast Health System
1124562483,HSI00001416,Beth Israel Lahey Health
1194263186,HSI00001416,Beth Israel Lahey Health
1538145131,HSI00001416,Beth Israel Lahey Health
1609854991,HSI00001416,Beth Israel Lahey Health
1013685775,HSI00000813,Mass General Brigham
1144707332,HSI00000813,Mass General Brigham
1174545875,HSI00000813,Mass General Brigham
1497216279,HSI00000813,Mass General Brigham
1548638265,HSI00000813,Mass General Brigham
1659790905,HSI00000813,Mass General Brigham
1790453462,HSI00000813,Mass General Brigham
1891112637,HSI00000813,Mass General Brigham
1891356374,HSI00000813,Mass General Brigham
1477832780,HSI00001416,Beth Israel Lahey Health
1538154869,HSI00001416,Beth Israel Lahey Health
1487681912,HSI00000130,Boston Childrens Hospital
1578690392,HSI00000813,Mass General Brigham
1184606865,HSI00001416,Beth Israel Lahey Health
1104865567,HSI00000131,Boston Medical Center
1952874737,HSI00000131,Boston Medical Center
1134166945,HSI00000131,Boston Medical Center
1427005859,HSI00000131,Boston Medical Center
1871531772,HSI00000131,Boston Medical Center
1568404903,HSI00000130,Boston Childrens Hospital
1003911579,HSI00000813,Mass General Brigham
1275570608,HSI00000131,Boston Medical Center
1508804949,HSI00000984,Signature Healthcare
1033854153,HSI00000131,Boston Medical Center
1083141659,HSI00000131,Boston Medical Center
1083952329,HSI00000131,Boston Medical Center
1114918950,HSI00000131,Boston Medical Center
1346218294,HSI00000131,Boston Medical Center
1366433104,HSI00000131,Boston Medical Center
1386718823,HSI00000131,Boston Medical Center
1417290131,HSI00000131,Boston Medical Center
1427697572,HSI00000131,Boston Medical Center
1851005763,HSI00000131,Boston Medical Center
1447348313,HSI00000156,Cambridge Health Alliance
1487603585,HSI00000156,Cambridge Health Alliance
1558427823,HSI00000156,Cambridge Health Alliance
1932313228,HSI00000156,Cambridge Health Alliance
1376532853,HSI00000131,Boston Medical Center
1104834977,HSI00000330,Northern Light Health
1265441323,HSI00000330,Northern Light Health
1659388213,HSI00000330,Northern Light Health
1134166390,HSI00000131,Boston Medical Center
1164460580,HSI00000131,Boston Medical Center
1073619854,HSI00000131,Boston Medical Center
1063716710,HSI00000610,MaineGeneral Health
1174858278,HSI00000610,MaineGeneral Health
1447289996,HSI00000610,MaineGeneral Health
1669423380,HSI00000610,MaineGeneral Health
1417972647,HSI00000813,Mass General Brigham
1730121633,HSI00000813,Mass General Brigham
1053350306,HSI00001112,Wellforce
1730132515,HSI00001112,Wellforce
1346355526,HSI00000813,Mass General Brigham
1851346746,HSI00000161,Cape Cod Healthcare
1003988346,HSI00000130,Boston Childrens Hospital
1619900172,HSI00000097,Baystate Health
1528005436,HSI00000131,Boston Medical Center
1396793139,HSI00001416,Beth Israel Lahey Health
1033535497,HSI00000813,Mass General Brigham
1093733537,HSI00000813,Mass General Brigham
1205425865,HSI00000813,Mass General Brigham
1215526876,HSI00000813,Mass General Brigham
1427076967,HSI00000813,Mass General Brigham
1518985050,HSI00000813,Mass General Brigham
1902469679,HSI00000813,Mass General Brigham
1790730539,HSI00001112,Wellforce
1831131473,HSI00001416,Beth Israel Lahey Health
1801892344,HSI00001416,Beth Israel Lahey Health
1982770046,HSI00001416,Beth Israel Lahey Health
1295711661,HSI00000813,Mass General Brigham
1669590295,HSI00000166,Care New England Health System
1760652218,HSI00000584,Lifepoint Health
1144260001,HSI00001179,University of Rochester Medical Center
1972503910,HSI00001096,Tidelands Health
1841241437,HSI00000510,Indiana University Health
1427075209,HSI00001427,CommonSpirit Health
1780783746,HSI00001179,University of Rochester Medical Center
1174609713,HSI00000090,Baxter Regional Medical Center
1902877426,HSI00001263,Willis Knighton Health System
1013084482,HSI00000660,Mercy
1003811381,HSI00000286,Covenant Health
1144362740,HSI00000340,Emerson Hospital Health System
1023017944,HSI00000166,Care New England Health System
1386643294,HSI00000166,Care New England Health System
1730186776,HSI00000166,Care New England Health System
1164716031,HSI00000585,Lifespan
1225073638,HSI00000585,Lifespan
1275810434,HSI00000585,Lifespan
1316060171,HSI00000585,Lifespan
1487649430,HSI00000585,Lifespan
1568567790,HSI00000585,Lifespan
1598978744,HSI00000585,Lifespan
1669726451,HSI00000585,Lifespan
1770520462,HSI00000585,Lifespan
1831362813,HSI00000585,Lifespan
1851677470,HSI00000585,Lifespan
1083709109,HSI00000585,Lifespan
1083848980,HSI00000585,Lifespan
1154537520,HSI00000585,Lifespan
1174605208,HSI00000585,Lifespan
1396849782,HSI00000585,Lifespan
1578817136,HSI00000585,Lifespan
1588659528,HSI00000585,Lifespan
1770601668,HSI00000585,Lifespan
1861420333,HSI00000585,Lifespan
1902902364,HSI00000585,Lifespan
1942399423,HSI00000585,Lifespan
1962844795,HSI00000585,Lifespan
1558386227,HSI00000851,Prospect Medical Holdings
1669409561,HSI00000166,Care New England Health System
1053782466,HSI00000585,Lifespan
1285191163,HSI00000585,Lifespan
1407116643,HSI00000585,Lifespan
1548506793,HSI00000585,Lifespan
1366486102,HSI00000585,Lifespan
1689626764,HSI00000585,Lifespan
1881101335,HSI00000585,Lifespan
1104871003,HSI00000998,South County Health
1245246115,HSI00000998,South County Health
1285988790,HSI00000998,South County Health
1295105294,HSI00000998,South County Health
1306034244,HSI00000998,South County Health
1306365812,HSI00000998,South County Health
1386905313,HSI00000998,South County Health
1477052256,HSI00000998,South County Health
1528152691,HSI00000998,South County Health
1568555183,HSI00000998,South County Health
1619157468,HSI00000998,South County Health
1861561193,HSI00000998,South County Health
1891317509,HSI00000998,South County Health
1942498951,HSI00000998,South County Health
1962455022,HSI00000585,Lifespan
1205832029,HSI00000585,Lifespan
1962443861,HSI00000355,Exeter Health Resources
1114919313,HSI00000340,Emerson Hospital Health System
1023742053,HSI00001475,ScionHealth
1255064531,HSI00001475,ScionHealth
1295789675,HSI00001475,ScionHealth
1558095588,HSI00001475,ScionHealth
1700839438,HSI00001475,ScionHealth
1720032105,HSI00001475,ScionHealth
1750332565,HSI00001475,ScionHealth
1073793030,HSI00000745,Broward Health
1518024934,HSI00001186,University of Virginia Health System
1215931589,HSI00000162,Cape Fear Valley Health System
1023100500,HSI00000055,Ascension Health
1346354370,HSI00000767,Northwell Health
1467517235,HSI00000452,Hartford Healthcare
1609928134,HSI00001272,Yale New Haven Health System
1619553021,HSI00001272,Yale New Haven Health System
1649260845,HSI00001272,Yale New Haven Health System
1548293343,HSI00001253,Nuvance Health
1619938016,HSI00001253,Nuvance Health
1659390573,HSI00001253,Nuvance Health
1730104217,HSI00001253,Nuvance Health
1649243478,HSI00000301,Day Kimball Healthcare
1710063367,HSI00000301,Day Kimball Healthcare
1801972450,HSI00000301,Day Kimball Healthcare
1003142225,HSI00001272,Yale New Haven Health System
1336139500,HSI00001272,Yale New Haven Health System
1427100957,HSI00001272,Yale New Haven Health System
1518019041,HSI00001272,Yale New Haven Health System
1609846088,HSI00001272,Yale New Haven Health System
1407806391,HSI00000452,Hartford Healthcare
1700810777,HSI00000452,Hartford Healthcare
1770696643,HSI00000452,Hartford Healthcare
1790183515,HSI00000452,Hartford Healthcare
1861652604,HSI00000452,Hartford Healthcare
1902834880,HSI00000452,Hartford Healthcare
1629075734,HSI00000452,Hartford Healthcare
1073530879,HSI00001272,Yale New Haven Health System
1780748871,HSI00001272,Yale New Haven Health System
1942536594,HSI00001272,Yale New Haven Health System
