value,neuromusc,cvd,respiratory,renal,gi,hemato_immu,metabolic,congeni_genetic,malignancy,neonatal,tech_dep,transplant,ccc_flag
A23.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A23.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A23.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A23.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A23.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A24,0,0,0,0,0,0,0,0,0,0,0,0,0
A24.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A24.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A24.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A24.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A24.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A25,0,0,0,0,0,0,0,0,0,0,0,0,0
A25.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A25.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A25.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A26,0,0,0,0,0,0,0,0,0,0,0,0,0
A26.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A26.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A26.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A26.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A27,0,0,0,0,0,0,0,0,0,0,0,0,0
A27.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A27.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A27.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A27.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A27.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A28,0,0,0,0,0,0,0,0,0,0,0,0,0
A28.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A28.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A28.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A28.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A28.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A30,0,0,0,0,0,0,0,0,0,0,0,0,0
A30.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A30.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A30.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A30.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A30.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A30.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A30.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A30.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A31,0,0,0,0,0,0,0,0,0,0,0,0,0
A31.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A31.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A31.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A31.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A31.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A32,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.11,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.12,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.82,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A32.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A33,0,0,0,0,0,0,0,0,0,0,0,0,0
A34,0,0,0,0,0,0,0,0,0,0,0,0,0
A35,0,0,0,0,0,0,0,0,0,0,0,0,0
A36,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.82,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.83,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.84,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.85,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.86,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A36.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A37,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.00,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.01,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.10,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.11,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.80,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.90,0,0,0,0,0,0,0,0,0,0,0,0,0
A37.91,0,0,0,0,0,0,0,0,0,0,0,0,0
A38,0,0,0,0,0,0,0,0,0,0,0,0,0
A38.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A38.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A38.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A38.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A39,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.50,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.51,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.52,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.82,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.83,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.84,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A39.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A40,0,0,0,0,0,0,0,0,0,0,0,0,0
A40.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A40.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A40.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A40.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A40.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A41,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.01,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.02,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.50,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.51,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.52,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.53,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.59,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A41.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A42,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.81,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.82,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.89,0,0,0,0,0,0,0,0,0,0,0,0,0
A42.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A43,0,0,0,0,0,0,0,0,0,0,0,0,0
A43.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A43.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A43.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A43.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A44,0,0,0,0,0,0,0,0,0,0,0,0,0
A44.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A44.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A44.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A44.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A46,0,0,0,0,0,0,0,0,0,0,0,0,0
A48,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.51,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.52,0,0,0,0,0,0,0,0,0,0,0,0,0
A48.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A49,0,0,0,0,0,0,0,0,0,0,0,0,0
A49.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A49.01,0,0,0,0,0,0,0,0,0,0,0,0,0
A49.02,0,0,0,0,0,0,0,0,0,0,0,0,0
A49.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A49.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A49.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A49.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A49.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A50,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.01,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.02,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.03,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.04,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.05,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.06,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.07,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.08,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.09,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.30,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.31,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.32,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.39,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.40,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.41,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.42,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.43,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.44,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.45,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.49,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.51,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.52,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.53,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.54,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.55,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.56,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.57,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.59,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.6,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A50.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A51,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.31,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.32,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.39,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.4,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.41,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.42,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.43,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.44,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.45,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.46,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.49,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.5,0,0,0,0,0,0,0,0,0,0,0,0,0
A51.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A52,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.00,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.01,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.02,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.03,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.04,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.05,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.06,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.09,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.10,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.11,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.12,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.13,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.14,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.15,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.16,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.17,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.19,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.2,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.3,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.7,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.72,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.73,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.74,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.75,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.76,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.77,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.78,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.79,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.8,0,0,0,0,0,0,0,0,0,0,0,0,0
A52.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A53,0,0,0,0,0,0,0,0,0,0,0,0,0
A53.0,0,0,0,0,0,0,0,0,0,0,0,0,0
A53.9,0,0,0,0,0,0,0,0,0,0,0,0,0
A54,0,0,0,0,0,0,0,0,0,0,0,0,0
A54.0,0,0,0,0,0,0,0,0,0,0,0,0,0
